客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
拾伍,3,水光三盒+水光仪一台,27.54,464.76,1,【复合肽水光焕能液】水光三盒+水光仪一台
拾伍,4,复合肽水光焕能液 去黄提亮 改善暗沉+高压透皮水光仪,22.58,866.59,1,【七夕专享】复合肽水光焕能液 去黄提亮 改善暗沉+高压透皮水光仪
拾伍,5,胶原皱纹贴..,8.23,106.29,4,胶原皱纹贴.. || 胶原皱纹贴. || 胶原皱纹贴 || 胶原皱纹贴主打皱纹
拾伍,6,四大金刚 七夕水光大礼包32件套,6.42,448.28,1,【七夕专享】四大金刚（全家福）七夕水光大礼包32件套
拾伍,7,童颜 三盒,5.07,452.15,1,【童颜赋能素.】童颜 三盒
拾伍,8,水光3盒+仪器1台,3.45,447.39,1,【复合肽水光焕能液】水光3盒+仪器1台
拾伍,9,童颜赋能素 3盒,0.85,553.46,1,【童颜贻贝】童颜赋能素 3盒
拾伍,10,梵芙尼胶原料膏+梵芙尼胶原蛋白液,0.7,151.44,1,【阳阳-胶原霜】梵芙尼胶原料膏+梵芙尼胶原蛋白液（到手3盒）
顺徕德,1,mk依兰香黑种籽护发精油女修复干枯防毛躁留香修复顺滑,0.61,45.31,1,【央玛推荐】mk依兰香黑种籽护发精油女修复干枯防毛躁留香修复顺滑官方正品
素说美丽,1,素说美丽SUSHUO多重重组胶原蛋白塑颜紧致眼膜,13.03,406.48,3,素说美丽SUSHUO多重重组胶原蛋白塑颜紧致眼膜48 || SUSHUO素说美丽多重重组胶原蛋白塑颜紧致眼膜-到手48对 || SUSHUO多重重组胶原塑颜紧致眼膜 到手48对
素说美丽,2,SUSHUO多重重组胶原塑颜紧致眼膜 到手48对+1支灵芝精油,1.38,405.08,1,SUSHUO多重重组胶原塑颜紧致眼膜 到手48对+1支灵芝精油
听研,1,听研抗皱乳霜绷带面膜升级版3.0z,2.96,384.43,1,【加赠3.0升级胶原炮】听研抗皱乳霜绷带面膜升级版3.0z
听研,2,听研提拉抗皱冰敷绷带面膜,2.74,394.63,2,【加赠胶原炮】听研提拉抗皱冰敷绷带面膜 z || 【加赠新升级三代胶原炮】听研提拉抗皱冰敷绷带面膜 z
透之谜,1,透之谜美白补水保湿光彩透白素颜霜,31.33,70.06,1,透之谜美白补水保湿光彩透白素颜霜
丸美,1,丸美重组胶原蛋白抗皱紧致眼膜 淡纹修护舒缓滋润 七夕礼物#,60.45,250.56,4,[淡泪沟眼纹]丸美重组胶原蛋白抗皱紧致眼膜 淡纹修护舒缓滋润 七夕礼物# || [淡化泪沟纹]丸美重组胶原蛋白抗皱紧致眼膜淡纹修护舒缓滋润# || [淡泪沟眼纹]丸美重组胶原蛋白抗皱紧致眼膜&小红笔眼霜4.0 淡纹修护舒缓滋润 拍下享专属周边七夕礼物# || [下单送蔡徐坤周边]丸美重组胶原蛋白抗皱紧致眼膜&小红笔眼霜4.0 淡纹修护舒缓滋润 拍下享专属周边七夕礼物#
丸美,2,丸美S肽小红笔眼霜 多重胜肽全脸紧致淡纹焕亮眼霜30g#,5.88,305.97,1,[美容仪眼霜]丸美S肽小红笔眼霜 多重胜肽全脸紧致淡纹焕亮眼霜30g#
丸美,3,丸美蔡徐坤同款多重胜肽小红笔4.0眼霜30g+胜肽小红笔眼膜70片/盒 效果翻倍,3.76,352.81,1,[七夕礼物]丸美蔡徐坤同款多重胜肽小红笔4.0眼霜30g+胜肽小红笔眼膜70片/盒 效果翻倍
丸美,4,丸美重组胶原蛋白抗皱紧致眼膜&小红笔眼霜4.0 淡纹修护舒缓滋润 拍下享专属周边#,1.11,256.11,1,[下单送蔡徐坤周边]丸美重组胶原蛋白抗皱紧致眼膜&小红笔眼霜4.0 淡纹修护舒缓滋润 拍下享专属周边#
丸美,5,丸美小金针&小红笔眼膜组合 重组胶原蛋白抗皱紧致眼膜淡纹修护+多重胜肽紧致淡纹嘭弹眼膜 #,0.67,168.51,1,[早红晚金]丸美小金针&小红笔眼膜组合 重组胶原蛋白抗皱紧致眼膜淡纹修护+多重胜肽紧致淡纹嘭弹眼膜（72片+72片）#
丸美,6,丸美蔡徐坤同款小红笔多重胜肽4.0眼霜30g+眼膜70片 紧致淡纹 眼部,0.62,307.83,1,[中秋好礼]丸美蔡徐坤同款小红笔多重胜肽4.0眼霜30g+眼膜70片 紧致淡纹 眼部CP
完美日记,1,完美日记第三代仿生膜精华滋润口红 仿生膜哑光口红 明星同款 淡纹亮唇色新色 送礼推荐,15.48,189.02,5,【买大送小】完美日记第三代仿生膜精华滋润口红 仿生膜哑光口红 明星同款 淡纹亮唇色新色 送礼推荐 || 【送润唇精华】完美日记第三代仿生膜精华滋润口红 哑光口红 淡唇纹显白提气色新色 礼物推荐 || 【现在送润唇精华】完美日记第三代仿生膜精华滋润口红 哑光口红 淡唇纹显白提气色新色 礼物推荐 || 【一支也送包】完美日记第三代仿生膜精华滋润口红 哑光口红 淡唇纹显白提气色新色 礼物推荐 || 【买大送小】完美日记第三代仿生膜精华滋润口红 仿生膜哑光口红 明星同款 淡纹亮唇色新色 礼物推荐
完美日记,2,完美日记小蓝锁精华防晒蜜粉饼 精华定妆补妆防晒 多效合一 自然提亮,12.77,212.43,2,【防晒粉饼上新】完美日记小蓝锁精华防晒蜜粉饼 精华定妆补妆防晒 多效合一 自然提亮 || 【定妆补防晒】完美日记小蓝锁精华防晒蜜粉饼 精华定妆补妆提亮防晒 多效合一
完美日记,3,完美日记第三代仿生膜精华口红滋润质地双支套组 滋润高显色 妆养一体,11.35,196.6,4,【滋润双支立减】完美日记第三代仿生膜精华口红滋润质地双支套组 滋润高显色 妆养一体 || 【下单送包】完美日记第三代仿生膜精华口红 哑光滋润双质地套组 滋润显白提气色 礼物推荐 || 【下单送新包】完美日记第三代仿生膜精华口红 哑光滋润双质地套组 滋润显白提气色 礼物推荐 || 【哑光+滋润】完美日记第三代仿生膜精华口红 哑光滋润双质地套组随心搭配 滋润淡纹亮唇色 妆养一体出游推荐
完美日记,4,完美日记三色眼影棒 一笔成妆 眼影卧蚕高光 三色丝滑持妆 新手友好,11.33,133.57,1,【1笔成妆】完美日记三色眼影棒 一笔成妆 眼影卧蚕高光 三色丝滑持妆 新手友好
完美日记,5,完美日记仿生膜精华水光唇釉 哑光唇釉 新品新色 显色显白提气色 通勤约会,5.43,132.5,1,【张予曦同款】完美日记仿生膜精华水光唇釉 哑光唇釉 新品新色 显色显白提气色 通勤约会
完美日记,6,完美日记第三代仿生膜精华持色水光唇釉 水光透亮显白 约会聚会通勤,2.67,107.68,1,【水光单支】完美日记第三代仿生膜精华持色水光唇釉 水光透亮显白 约会聚会通勤
完美日记,7,完美日记精华蜜粉饼常规版 蓝色提亮粉色修黄 小蓝锁专利 控油定妆持妆,2.02,208.57,1,【粉色修黄好气色】完美日记精华蜜粉饼常规版 蓝色提亮粉色修黄 小蓝锁专利 控油定妆持妆
完美日记,8,完美日记第一代仿生膜mini款精华哑光口红 裸色显白上唇丝滑,1.13,171.46,1,【七夕礼物】完美日记第一代仿生膜mini款精华哑光口红 裸色显白上唇丝滑
薇诺娜,1,薇诺娜舒敏保湿特护面膜畅销款,10.28,229.46,3,[直播专属]薇诺娜舒敏保湿特护面膜畅销款 || [七夕礼遇]薇诺娜舒敏保湿特护霜面膜套组 || [王楚钦同款]薇诺娜舒敏保湿特护面膜 马年限定版
薇诺娜,2,薇诺娜修白水乳七夕礼盒 2周弹嫩紧致 12倍健康透白,5.48,278.44,2,[七夕礼遇 祛斑美白]薇诺娜修白水乳七夕礼盒 2周弹嫩紧致 12倍健康透白 || [嘭弹焕亮]薇诺娜修白水乳双支装  2周弹嫩紧致12倍健康透白
薇诺娜,3,薇诺娜特护水霜精华满分套组,5.25,347.25,2,[七夕礼遇 舒缓修护]薇诺娜特护水霜精华满分套组 || [重磅新品 3.0上市]薇诺娜特护水霜精华满分套组
薇诺娜,4,薇诺娜特护神奇水120ml 舒缓褪红 修护干痒暗沉粗糙,5.09,188.83,1,[重磅新品]薇诺娜特护神奇水120ml 舒缓褪红 修护干痒暗沉粗糙
薇诺娜,5,薇诺娜50g屏障特护霜,4.35,302.46,1,[屏障修护系列]薇诺娜50g屏障特护霜
薇诺娜,6,薇诺娜舒敏保湿特护霜 第二代,2.35,283.85,1,[舒缓维稳]薇诺娜舒敏保湿特护霜 第二代
薇诺娜,7,薇诺娜特护霜双支装套组 保湿舒缓修护,1.39,277.38,1,[主播推荐]薇诺娜特护霜双支装套组 保湿舒缓修护
薇诺娜,8,薇诺娜特护霜双支装 直播专享囤货大套组 七夕好礼,0.72,277.79,1,[舒缓修护]薇诺娜特护霜双支装 直播专享囤货大套组 七夕好礼
薇诺娜,9,薇诺娜120ml屏障修护保湿水,0.72,300.3,1,[屏障修护系列]薇诺娜120ml屏障修护保湿水
薇诺娜,10,薇诺娜光透皙白淡斑精华液囤货组合,0.71,255.24,1,[直播专属]薇诺娜光透皙白淡斑精华液囤货组合
西藏圆融药业有限公司,1,绽妍5%高浓度 氨甲环酸臻萃精华液 改善肌肤光泽 光润透亮 保湿舒缓 水感质地 温和易吸收,0.78,169.67,1,[达人专属]绽妍5%高浓度 氨甲环酸臻萃精华液 改善肌肤光泽 光润透亮 保湿舒缓 水感质地 温和易吸收
仙花秀,1,Sinhosoo仙花秀黄金鱼子盈润透亮面贴膜升级版2.0熬夜焕亮保湿,5.51,94.03,1,Sinhosoo仙花秀黄金鱼子盈润透亮面贴膜升级版2.0熬夜焕亮保湿A1
向日花,1,向日花柔焦毛孔隐形乳控油持妆隔离霜服帖底妆修饰隐形毛孔妆前乳,4.64,69.9,1,向日花柔焦毛孔隐形乳控油持妆隔离霜服帖底妆修饰隐形毛孔妆前乳z
萧山玖朗,1,二叉水眉笔持久耐汗不晕染立体野生眉速干耐蹭,0.69,399.0,1,二叉水眉笔持久耐汗不晕染立体野生眉速干耐蹭1
小奥汀,1,小奥汀玩色多用棒粉彩风腮红口红修容眼影显白,14.1,120.74,1,【官方现货】小奥汀玩色多用棒粉彩风腮红口红修容眼影显白
小奥汀,2,小奥汀双头塑形眉笔精准勾勒妈生眉根根分明防水持妆新手适用,7.31,75.49,2,[官方现货]小奥汀双头塑形眉笔精准勾勒妈生眉根根分明防水持妆新手适用 || [王玉雯同款热卖]小奥汀双头塑形眉笔精准勾勒妈生眉根根分明防水持妆新手适用
小奥汀,3,小奥汀 双质高光盘提亮肤色水润细腻遮盖斑点泪沟,6.14,81.11,1,【官方热卖】小奥汀[彩蛋]双质高光盘提亮肤色水润细腻遮盖斑点泪沟
小奥汀,4,小奥汀双头塑形眉笔防晕染精准勾勒精细定型自然眉型,1.42,75.21,1,[视频专享]小奥汀双头塑形眉笔防晕染精准勾勒精细定型自然眉型
小树美,1,小树美素颜霜玻色因焕亮精华素颜霜遮瑕提亮养肤自然美颜,12.64,40.05,1,[买一送一]小树美素颜霜玻色因焕亮精华素颜霜遮瑕提亮养肤自然美颜
心愿先生,1,心愿先生美甲笔新款七合一猫眼甲油胶底胶封层建构指甲油,8.52,81.58,3,【秋季上新】心愿先生美甲笔新款七合一猫眼甲油胶底胶封层建构指甲油 || 【夏日上新】心愿先生美甲笔新款七合一猫眼甲油胶底胶封层建构指甲油 || 【两支送卸甲包】心愿先生美甲笔七合一猫眼甲油胶底胶封层建构美甲指甲油2026年新款
心愿先生,2,桃桃乐轻亚裔心愿先生免胶假睫毛新手友好单簇上眼,4.09,79.01,1,【新品！猫系LB翘】桃桃乐轻亚裔心愿先生免胶假睫毛新手友好单簇上眼
心愿先生,3,微斜飞小糖豆心愿先生免胶假睫毛自然款不压眼,3.16,76.93,1,【新品！创新LC翘】微斜飞小糖豆心愿先生免胶假睫毛自然款不压眼
心愿先生,4,短绒素颜精致原生感两步上眼心愿先生免胶胶水款睫毛2026年新款,1.36,71.63,1,【短款素颜睫假睫毛】短绒素颜精致原生感两步上眼心愿先生免胶胶水款睫毛2026年新款
心愿先生,5,鸟啾啾女团睫上镜大眼鼠系96簇LC翘漫画大眼新手睫毛,0.58,78.74,1,【免胶假睫毛鸟鼠PLUS】鸟啾啾女团睫上镜大眼鼠系96簇LC翘漫画大眼新手睫毛
星禾,1,海洋至尊多效精华喷雾男士夏季控油补水保湿舒缓爽肤水,11.64,100.86,2,【欧豪同款】海洋至尊多效精华喷雾男士夏季控油补水保湿舒缓爽肤水 || 【七夕礼遇】海洋至尊多效精华喷雾男士夏季控油补水保湿舒缓爽肤水
星禾,2,海洋至尊男士专用长效控油洗面奶去油控痘去黑头洗脸洁面,3.73,96.26,2,【欧豪同款】海洋至尊男士专用长效控油洗面奶去油控痘去黑头洗脸洁面 || 【七夕礼遇】海洋至尊男士专用长效控油洗面奶去油控痘去黑头洗脸洁面
星禾,3,海洋至尊沐浴乳夏季持久留香控油祛痘保湿清洁男士香氛沐浴露,1.96,100.58,2,【欧豪同款】海洋至尊沐浴乳夏季持久留香控油祛痘保湿清洁男士香氛沐浴露 || 【七夕礼遇】海洋至尊沐浴乳夏季持久留香控油祛痘保湿清洁男士香氛沐浴露
星禾,4,海洋至尊素颜霜男士遮瑕自然不假白提亮肤色控油bb霜男生修颜霜男大必备,1.04,79.67,1,海洋至尊素颜霜男士遮瑕自然不假白提亮肤色控油bb霜男生修颜霜男大必备
星禾,5,海洋至尊三棱镜洗面奶夏季男士长效控油祛痘去黑头,1.03,91.96,1,【欧豪同款】海洋至尊三棱镜洗面奶夏季男士长效控油祛痘去黑头
星禾,6,海洋至尊祛痘水男士淡痘印油痘肌控油爽肤水保湿舒缓修护湿敷水青少年学生,0.95,78.14,1,海洋至尊祛痘水男士淡痘印油痘肌控油爽肤水保湿舒缓修护湿敷水青少年学生
星禾,7,海洋至尊水乳套装男士控油保湿祛痘清爽不粘腻护肤品礼盒日常送礼,0.79,115.96,1,【欧豪同款】海洋至尊水乳套装男士控油保湿祛痘清爽不粘腻护肤品礼盒日常送礼
雪玲妃,1,雪玲妃大绿泥控油洗面奶祛痘深层清洁毛孔祛黑头学生,1.78,34.19,1,[500g大容量]雪玲妃大绿泥控油洗面奶祛痘深层清洁毛孔祛黑头学生
雪玲妃,2,雪玲妃收缩毛孔长效控油洗面奶500ML深层清洁保湿黑头粉刺男女,1.09,33.89,1,[1瓶顶5瓶]雪玲妃收缩毛孔长效控油洗面奶500ML深层清洁保湿黑头粉刺男女
雅丽洁,1,雅丽洁美白防晒乳SPF50+pa+++防紫外线防晒,3.05,67.41,1,【官方专属】雅丽洁美白防晒乳SPF50+pa+++防紫外线防晒
雅丽洁,2,Yalget雅丽洁美白防晒霜,2.52,68.56,1,【官方专属】Yalget雅丽洁美白防晒霜40ml
雅丽洁,3,雅丽洁美白面部防晒乳pa+++40ml,1.96,64.75,1,【直播专享】雅丽洁美白面部防晒乳pa+++40ml
雅丽洁,4,美白防晒乳2.0版雅丽洁水感倍护美白防晒乳,0.84,68.01,1,【直播专享】美白防晒乳2.0版雅丽洁水感倍护美白防晒乳40ml
一人公司,1,双头唇线笔/唇笔,1.53,399.0,1,双头唇线笔/唇笔
一只柚,1,一只柚一步甲油胶2026新款猫眼胶指甲油正品爆款,0.86,70.55,1,[拍即送灯]一只柚一步甲油胶2026新款猫眼胶指甲油正品爆款
义乌市魅珠化妆品有限公司,1,向日花柔焦毛孔隐形乳控油持妆隔离霜服帖底妆修饰隐形毛孔妆前乳,1.15,69.01,1,向日花柔焦毛孔隐形乳控油持妆隔离霜服帖底妆修饰隐形毛孔妆前乳z
义乌市魅珠化妆品有限公司,2,向日花粉底液遮瑕干皮混油皮滋润持久不脱妆底妆粉底,0.75,70.4,1,向日花粉底液遮瑕干皮混油皮滋润持久不脱妆底妆粉底z
奕沃,1,eiio水光面膜深层补水抗皱紧致保湿修护养透亮,11.41,100.23,2,【徐艺洋小鱼海棠推荐】eiio水光面膜深层补水抗皱紧致保湿修护养透亮 || eiio水光面膜深层补水抗皱紧致保湿修护养肤透亮
瑛派儿,1,Enpir防脱强韧洗发水固发控油蓬松去屑侧柏叶老黄推荐,13.41,80.57,4,[瑛派儿官方]Enpir防脱强韧洗发水固发控油蓬松去屑侧柏叶老黄推荐 || [瑛派儿官方]Enpir防脱强韧洗发水固发控油蓬松去屑防断洗发露侧柏叶官方正品 || 瑛派儿Enpir防脱强韧洗发水固发控油蓬松去屑防断洗发露侧柏叶官方正品 || 瑛派儿防脱强韧洗发水 固发控油蓬松去屑防断洗发露侧柏叶老黄推荐官方正品
瑛派儿,2,瑛派儿防脱强韧洗发水固发控油蓬松去屑防断洗发露侧柏叶,4.87,78.27,2,瑛派儿防脱强韧洗发水固发控油蓬松去屑防断洗发露侧柏叶官方正品 || 瑛派儿防脱强韧洗发水固发控油蓬松去屑防断洗发露侧柏叶官方正品Enpir
瑛派儿,3,鱼子酱发膜 爆款护发素改善毛躁干枯柔顺不打结轻盈蓬松深层补水保湿 烫染急救护理,3.32,61.81,1,[瑛派儿官方]鱼子酱发膜 爆款护发素改善毛躁干枯柔顺不打结轻盈蓬松深层补水保湿 烫染急救护理
瑛派儿,4,去屑止痒蓬松柔顺洗发水 精油净爽控油柔顺滋养防断发洗发水家庭装大容量一家人都能用,1.74,38.33,1,[瑛派儿官方]去屑止痒蓬松柔顺洗发水 精油净爽控油柔顺滋养防断发洗发水家庭装大容量一家人都能用
瑛派儿,5,瑛派儿控油舒缓洁面乳油皮敏感肌舒缓不假滑卸妆,1.62,80.07,1,瑛派儿控油舒缓洁面乳油皮敏感肌舒缓不假滑卸妆Enpir官方正品
瑛派儿,6,ULOANBEL薰衣草精油净爽控油洗发水 茶树精油净澈去屑摩洛哥坚果油柔顺洗发水家庭装大容量,1.39,41.54,1,[瑛派儿官方]ULOANBEL薰衣草精油净爽控油洗发水 茶树精油净澈去屑摩洛哥坚果油柔顺洗发水家庭装大容量
瑛派儿,7,ULOANBEL控油去屑柔顺洗发水大瓶家庭装,0.86,38.7,1,[瑛派儿官方]ULOANBEL控油去屑柔顺洗发水大瓶家庭装
瑛派儿,8,瑛派儿鱼子酱精华柔滑发膜 柔顺护发素头发毛躁打结推荐500ml大容量,0.65,61.29,1,瑛派儿鱼子酱精华柔滑发膜 柔顺护发素头发毛躁打结推荐500ml大容量
瑛派儿,9,瑛派儿Enpir轻透隔离防晒乳 50+防紫外线保湿养肤,0.65,65.96,1,[瑛派儿官方]瑛派儿Enpir轻透隔离防晒乳 50+防紫外线保湿养肤官方正品
瑛派儿,10,瑛派儿轻透隔离防晒乳 SPF50+防紫外线保湿养肤隔离防护 水润养肤不闷痘女士专用防水防汗轻薄透气,0.56,65.52,1,[瑛派儿官方]瑛派儿轻透隔离防晒乳 SPF50+防紫外线保湿养肤隔离防护 水润养肤不闷痘女士专用防水防汗轻薄透气
盈川,1,三色渐变懒人眼影棒一抹成型珠光细闪哑光显色适合新手,4.5,30.06,1,[一抹成型]三色渐变懒人眼影棒一抹成型珠光细闪哑光显色适合新手
盈川,2,OULAIJIA/欧莱加三色渐变眼影棒一抹成型持妆防水防汗眼妆懒人必备,1.47,30.23,1,OULAIJIA/欧莱加三色渐变眼影棒一抹成型持妆防水防汗眼妆懒人必备4
羽素,1,羽素胶态硫祛痘精华小蓝盾舒缓沁润祛痘修护学生党救急快速瘪痘,13.19,189.37,3,[陈梦推荐]羽素胶态硫祛痘精华小蓝盾舒缓沁润祛痘修护学生党救急快速瘪痘 || [陈梦推荐]羽素胶态硫祛痘精华小蓝盾舒缓沁润祛痘修护学生党救急快速瘪痘B || [王昶同款]羽素胶态硫祛痘精华小蓝盾舒缓沁润祛痘修护学生党救急快速瘪痘W
羽素,2,羽素去闭口水湿敷控油细毛孔控油祛黑头白头粉刺酶肽,5.5,167.56,1,羽素去闭口水湿敷控油细毛孔控油祛黑头白头粉刺酶肽A
御家汇,1,御泥坊东方黑参胶原棒 抗皱紧致滋养次抛精华液,2.37,249.76,1,【加赠胶原炮】御泥坊东方黑参胶原棒 抗皱紧致滋养次抛精华液
原生密码,1,加强版原生密码微分子技术美白童颜胶原炮面膜,12.31,1371.84,4,【官方旗舰·美白抗老】加强版原生密码微分子技术美白童颜胶原炮面膜 || 【官方旗舰·美白抗皱】原生密码微分子技术美白童颜抗老面膜 || 【丹总童颜面膜】原生密码微分子技术童颜抗老面膜 || 【丹总力荐·抗皱紧致】原生密码微分子技术胶原炮抗老面膜
原生密码,2,原生密码胶原炮面膜微分子抗老淡纹紧致胶原炮面膜,7.14,1377.98,1,【官方旗舰】原生密码胶原炮面膜微分子抗老淡纹紧致胶原炮面膜
原生密码,3,原生密码胶原炮面膜抗皱紧致淡纹微分子护理膜明星同款,2.82,1522.86,1,[官方旗舰·美白抗皱祛斑]原生密码胶原炮面膜抗皱紧致淡纹微分子护理膜明星同款
原生密码,4,原生密码肌底抗老防晒霜防晒防紫外线老化滋润亮白夏季,1.59,1280.0,1,原生密码肌底抗老防晒霜防晒防紫外线老化滋润亮白夏季
原生密码,5,原生密码微分子精华抗皱紧提拉淡纹胶原炮面膜礼盒,1.57,1427.14,1,【官方旗舰·明星同款】原生密码微分子精华抗皱紧提拉淡纹胶原炮面膜礼盒
造物者,1,造物者冰川净颜泥膜清洁细毛孔去黑头闭口粉刺提亮控油,16.45,130.67,2,【造物者泡泡泥膜】造物者冰川净颜泥膜清洁细毛孔去黑头闭口粉刺提亮控油 || 【重磅新品】造物者冰川净颜泥膜清洁细毛孔去黑头闭口粉刺提亮控油
造物者,2,造物者极地奢养抛光面膜去黑头控油提亮清洁补水注氧温泉酸紧致嫩肤涂抹面膜,15.53,208.77,4,[买正装送正装]造物者极地奢养抛光面膜去黑头控油提亮清洁补水注氧温泉酸紧致嫩肤涂抹面膜 || 【买正装送正装】造物者极地奢养抛光面膜去黑头控油提亮清洁补水注氧温泉酸紧致嫩肤涂抹面膜 || [限时拍下立减100]造物者极地奢养抛光面膜去黑头控油清洁补水注氧紧致嫩肤涂抹面膜 || 【限时拍下立减100】造物者极地奢养抛光面膜去黑头控油清洁补水注氧紧致嫩肤涂抹面膜
造物者,3,造物者软膜红山茶蚕丝精华套装紧致抗皱提亮细腻毛孔修护补水保湿涂抹面膜,11.62,212.29,2,[明星何泓姗同款]造物者软膜红山茶蚕丝精华套装紧致抗皱提亮细腻毛孔修护补水保湿涂抹面膜 || 【明星何泓姗同款】造物者软膜红山茶蚕丝精华套装紧致抗皱提亮细腻毛孔修护补水保湿涂抹面膜
造物者,4,明星同款 造物者红山茶软膜套装紧致淡纹提亮收缩毛孔 淡化鱼尾纹法令纹 改善肌肤状态,5.11,237.29,2,[拍下立减100]明星同款 造物者红山茶软膜套装紧致淡纹提亮收缩毛孔 淡化鱼尾纹法令纹 改善肌肤状态 || 【拍下立减100】明星同款 造物者红山茶软膜套装紧致淡纹提亮收缩毛孔 淡化鱼尾纹法令纹 改善肌肤状态
造物者,5,造物者胶原肽紧塑淡纹眼膜套盒 淡化眼纹 重塑眼周 改善黑眼圈 紧致抗皱,4.87,142.46,2,[明星同款]造物者胶原肽紧塑淡纹眼膜套盒 淡化眼纹 重塑眼周 改善黑眼圈 紧致抗皱 || 【明星同款】造物者胶原肽紧塑淡纹眼膜套盒 淡化眼纹 重塑眼周 改善黑眼圈 紧致抗皱
造物者,6,造物者红山茶蚕丝精华面膜套装紧致淡纹 多肽,1.26,214.07,1,[回购专享]造物者红山茶蚕丝精华面膜套装紧致淡纹 多肽
绽妍,1,绽妍重组贻贝粘蛋白速修面膜,6.02,111.21,1,绽妍重组贻贝粘蛋白速修面膜
绽妍,2,氨甲环酸臻萃精华液,3.96,160.48,3,氨甲环酸臻萃精华液 || [专属] 5%高浓度传明酸 绽妍JUYOU氨甲环酸臻萃精华液 改善肌肤光泽 光润透亮 修护 紧致 一瓶顶3瓶 || [达人专属]绽妍5%高浓度 氨甲环酸臻萃精华液 改善肌肤光泽 光润透亮 保湿舒缓 水感质地 温和易吸收
绽妍,3,绽妍三重蛋白面膜,2.69,153.94,1,绽妍三重蛋白面膜
绽妍,4,传明酸美白面膜,1.83,163.06,1,传明酸美白面膜
浙江罗小曼化妆品有限责任公司,1,罗小曼迷雾派对双头唇釉 04末日岛屿裸色水光哑光口红,1.58,66.74,1,【双支】罗小曼迷雾派对双头唇釉 04末日岛屿裸色水光哑光口红
郑州烛舍,1,KOROLO 遮白发补色笔 一刷遮白不假黑 上色自然不伤发,1.07,44.07,1,KOROLO 遮白发补色笔 一刷遮白不假黑 上色自然不伤发
植卡美,1,植卡美酵母轻柔洁面乳 | 深层清洁 | 清爽去油不拔干 还你轻透肌,2.43,123.17,1,植卡美酵母轻柔洁面乳 | 深层清洁 | 清爽去油不拔干 还你轻透肌
植卡美,2,植卡美二代磨皮水 酵母冻龄 亮到发光,1.96,156.87,1,植卡美二代磨皮水  酵母冻龄  亮到发光
植卡美,3,植卡美小蓝管唇膏|唇部修护精华霜|润唇修护淡唇纹,1.01,98.92,1,植卡美小蓝管唇膏|唇部修护精华霜|润唇修护淡唇纹
植卡美,4,植卡美焕采精华霜 专研十肽 抗皱维稳 冰淇淋质地 轻薄好吸收,0.92,199.26,1,植卡美焕采精华霜 专研十肽  抗皱维稳 冰淇淋质地 轻薄好吸收
植卡美,5,植卡美焕采莹润二代精华水 | 控油 | 提亮 | 维稳,0.88,151.64,1,植卡美焕采莹润二代精华水 | 控油 | 提亮 | 维稳
植卡美,6,植卡美新升级十肽焕采紧致胶原精华液 | 紧致抗皱 | 提亮嫩肤 | 紧致舒缓精华,0.69,203.77,1,植卡美新升级十肽焕采紧致胶原精华液 | 紧致抗皱 | 提亮嫩肤 | 紧致舒缓精华
植卡美,7,植卡美唇部修护精华霜 | 长效滋润 | 深层修护 | 强韧屏障,0.69,98.13,1,植卡美唇部修护精华霜 | 长效滋润 | 深层修护 | 强韧屏障
植卡美,8,植卡美水光莹润精华面膜 | 快速补水 饱满嘭弹 在家就能享受水光灌肤,0.67,121.24,1,植卡美水光莹润精华面膜 | 快速补水  饱满嘭弹 在家就能享受水光灌肤
植卡美,9,植卡美嫩肤酵母护肤套装 | 保湿滋润 | 抗皱紧致三件套 |精华水 精华液 面霜,0.61,299.64,1,植卡美嫩肤酵母护肤套装 | 保湿滋润 | 抗皱紧致三件套    |精华水  精华液  面霜
朱莉欧,1,重磅升级 遮瑕提亮自然不假白防水防汗不脱妆,11.14,60.53,2,重磅升级[朱莉欧美白素颜霜]遮瑕提亮自然不假白防水防汗不脱妆 || 【七夕专享 买一送一】朱莉欧美白素颜霜遮瑕提亮自然不假白防水防汗不脱妆
朱莉欧,2,重磅升级崔奕推荐朱莉欧美白素颜霜控油夏日防水防汗不脱妆抗皱遮瑕自然不假白,4.48,60.45,1,[拍1发2]重磅升级崔奕推荐朱莉欧美白素颜霜控油夏日防水防汗不脱妆抗皱遮瑕自然不假白
朱莉欧,3,朱莉欧美白素颜霜保湿抗皱面部提亮自然不假白夏季舒缓水润服帖,1.62,61.48,1,朱莉欧美白素颜霜保湿抗皱面部提亮自然不假白夏季舒缓水润服帖
朱莉欧,4,孙耀威崔奕同款朱莉欧美白素颜霜保湿抗皱面部提亮,1.06,60.83,1,[ 快速上妆 自然不假白]孙耀威崔奕同款朱莉欧美白素颜霜保湿抗皱面部提亮
自然堂,1,自然堂-水润焕亮洗颜霜超值双支装-洗卸合一保湿不紧绷-官方正品 夏日清凉活动,99.27,39.13,2,【买一送一】自然堂-水润焕亮洗颜霜超值双支装-洗卸合一保湿不紧绷-官方正品 夏日清凉活动 || 【买一送一】自然堂-水润焕亮洗颜霜超值双支装-洗卸合一保湿不紧绷-官方正品HX
