客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
可丽金,2,可丽金胶原蛋白紧致弹润嘭嘭次抛精华3支*3袋+美白祛斑皙白精华7支/盒保湿紧致 清爽不粘腻,2.3,136.58,1,【美白嘭弹次抛套组到手16件】可丽金胶原蛋白紧致弹润嘭嘭次抛精华3支*3袋+美白祛斑皙白精华7支/盒保湿紧致 清爽不粘腻
可丽金,3,可丽金重组胶原蛋白赋能紧致焕亮保湿焕颜精粹水 胶原抗皱 水润保湿 紧致轮廓,1.06,252.82,1,【胶原精华水拍1到手14件】可丽金重组胶原蛋白赋能紧致焕亮保湿焕颜精粹水 胶原抗皱 水润保湿 紧致轮廓
可丽金,4,可丽金重组胶原蛋白赋能珍萃紧致弹润次抛精华3支*4 修护肌肤 补水保湿 胶原抗皱,0.66,107.37,1,【胶原嘭嘭次抛到手12件】可丽金重组胶原蛋白赋能珍萃紧致弹润次抛精华3支*4 修护肌肤 补水保湿 胶原抗皱
兰,1,LAN兰气泡油2.0 Pro凤凰油特证版精萃油 减黄提亮紧致抗皱,1.31,362.33,1,【美白嫩肤】LAN兰气泡油2.0 Pro凤凰油特证版精萃油 减黄提亮紧致抗皱   DB
兰亭lantern,1,兰亭胶原蛋白抗皱男士精华液提拉紧致滋润舒缓补水保湿,2.94,91.58,2,[官方正品]兰亭胶原蛋白抗皱男士精华液提拉紧致滋润舒缓补水保湿 || [官方正品]兰亭胶原蛋白抗皱男士精华乳提拉紧致滋润舒缓补水保湿
荔树,1,荔树粉底刷不吃粉轻薄无痕底妆美妆工具黑凤梨粉扑化妆刷高定礼盒,2.42,39.88,1,荔树粉底刷不吃粉轻薄无痕底妆美妆工具黑凤梨粉扑化妆刷高定礼盒
荔树,2,荔树旗袍粉扑+一字粉刷超软不吃粉干湿两用便携粉扑,2.02,48.57,1,荔树旗袍粉扑+一字粉刷超软不吃粉干湿两用便携粉扑
荔树,3,荔树旗袍粉专用双面干湿两用遮瑕定妆便携化妆粉扑扑气垫不吃粉,0.94,39.83,1,荔树旗袍粉专用双面干湿两用遮瑕定妆便携化妆粉扑扑气垫不吃粉
荔树,4,荔树牛仔拖鞋粉扑气垫速上妆超软Q弹系列化妆师推荐干湿两用,0.7,25.72,1,荔树牛仔拖鞋粉扑气垫速上妆超软Q弹系列化妆师推荐干湿两用
连云港娥妆科技有限公司,1,朱莉欧臻颜美肤素颜霜水润遮瑕保湿提亮三合一懒人霜,1.43,85.32,2,朱莉欧臻颜美肤素颜霜水润遮瑕保湿提亮三合一懒人霜官方正品 || 【官方正品】朱莉欧臻颜美肤素颜霜遮瑕水润保湿提亮肤色懒人霜
料堆堆,1,料堆堆眉笔木杆眉笔3.3g硬芯新版砍刀眉笔新手适用持妆赠削眉笔器,1.27,86.18,1,料堆堆眉笔木杆眉笔3.3g硬芯新版砍刀眉笔新手适用持妆赠削眉笔器
林清轩,1,林清轩小金珠精华水2.0油凝珠细胞级嘭弹抗皱紧致水乳套装重磅新品,24.27,243.86,4,【总裁专属】林清轩小金珠精华水2.0油凝珠细胞级嘭弹抗皱紧致水乳套装重磅新品 || 【直播专属】林清轩山茶花全新小金珠精华水油凝珠细胞级嘭弹抗皱紧致水乳套装 || 【总裁专属】林清轩小金珠精华水2.0油凝珠细胞级嘭弹抗皱紧致水乳霜护肤套组 || 【福哥专属】林清轩小金珠精华水2.0油凝珠细胞级嘭弹抗皱紧致120ml
林清轩,2,林清轩小金珠双管洁面双舱早晚分时温和清洁不刺激,9.91,128.88,1,【重磅新品】林清轩小金珠双管洁面双舱早晚分时温和清洁不刺激
林清轩,3,林清轩山茶花抗皱修护精华油5.0以油养肤修护紧致15ml*3,8.47,226.57,4,[直播专属]林清轩山茶花抗皱修护精华油5.0以油养肤修护紧致15ml*3 || [10分钟抗皱淡纹]林清轩山茶花抗皱修护精华油5.0以油养肤抗皱紧致 || [直播专属]林清轩山茶花抗皱修护精华油5.0以油养肤抗皱紧致 || [直播专属]林清轩山茶花抗皱修护精华油5.0以油养肤修护紧致15ml*3赠胶原多肽面膜
